Answer,Division,Grouping,Level,Org_Group,Organization,Q Id,Q-Pillar_Group,Question Id,Question Id Details,Question Id Enum,Question Id Short,Question Type,State,Submission Id,Text Answer,Title,Value_NULL,Wording,Completion_Rate,Q_Score,Score_Status,Value
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_2,GM4a_2,"QID61,choiceId:2",QID61,GM4a_2,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_3,GM4a_3,"QID61,choiceId:3",QID61,GM4a_3,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_4,GM4a_4,"QID61,choiceId:4",QID61,GM4a_4,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_5,GM4a_5,"QID61,choiceId:5",QID61,GM4a_5,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_6,GM4a_6,"QID61,choiceId:6",QID61,GM4a_6,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_7,GM4a_7,"QID61,choiceId:7",QID61,GM4a_7,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,Awareness,Management / Associate,Test1,Test1,GM4a_7_TEXT,GM4a_7_TEXT,QID617TEXT,QID61,GM4a_7_TEXT,GM4a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Where did you learn about the AI initiatives within your organization? Please select all that ,1,,Optimizing AI,
,Testing,People,Management / Associate,Test1,Test1,GM5,GM5,QID62,QID62,GM5,GM5,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE," To the best of your knowledge, have you used AI in your current role in the past year?",1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_1,GM5a_1,"QID63,choiceId:1",QID63,GM5a_1,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_2,GM5a_2,"QID63,choiceId:2",QID63,GM5a_2,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_3,GM5a_3,"QID63,choiceId:3",QID63,GM5a_3,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_4,GM5a_4,"QID63,choiceId:4",QID63,GM5a_4,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_5,GM5a_5,"QID63,choiceId:5",QID63,GM5a_5,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_6,GM5a_6,"QID63,choiceId:6",QID63,GM5a_6,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_7,GM5a_7,"QID63,choiceId:7",QID63,GM5a_7,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,Technology,Management / Associate,Test1,Test1,GM5a_7_TEXT,GM5a_7_TEXT,QID637TEXT,QID63,GM5a_7_TEXT,GM5a,Multi-Punch,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, What types of AI applications did you use? Please select all that ,1,,Optimizing AI,
,Testing,People,Management / Associate,Test1,Test1,GM6,GM6,QID64,QID64,GM6,GM6,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, How likely do you think you will be to use AI in your current role in the next year?,1,,Optimizing AI,
,Testing,People,Management / Associate,Test1,Test1,GM7,GM7,QID65,QID65,GM7,GM7,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, How much of your work do you think will be impacted by AI over the next 5-10 years?,1,,Optimizing AI,
,Testing,Familiarity,Management / Associate,Test1,Test1,GM8,GM8,QID66,QID66,GM8,GM8,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, How would you rate your current comfort with using AI?,1,,Optimizing AI,
,Testing,People,Management / Associate,Test1,Test1,GM9_1,GM9_1,QID671,QID67,GM9_1,GM9,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Which of the following best describes you?,1,,Optimizing AI,
,Testing,People,Management / Associate,Test1,Test1,GM9_2,GM9_2,QID672,QID67,GM9_2,GM9,Likert,COMPLETED,R_2y3ZGs556diX84c,,Tester,TRUE, Which of the following best describes you?,1,,Optimizing AI,
